'cause	k AH z
hast	h AE s t
hastie	h EY s t IY
haston	h AE s t AH n
hasz	h AA SH
hatchback	h AE CH b AE k
hatchel	h AE CH AH l
hatchery	h AE CH ER IY
haters	h EY t ER z
hates	h EY t s
hathcoat	h AE TH k OW t
hatmaker	h AE t m EY k ER
haton	h AE t AO n
hattaway	h AE t AH w EY
hatteras	h AE t ER AH s
hattery	h AE t ER IY
hattie	h AE t IY
hatty	h AE t IY
hau	h AW
haub	h AO b
hauber	h AW b ER
hauenstein	h AW AH n s t AY n
hauf	h AO f
haufer	h AO f ER
haug	h AO g
haugh	h AO
haugland	h AO g l AH n d
hauls	h AO l z
haun	h AO n
haunting	h AO n t IH NG
haus	h AW s
hausa	h AW s AH
hause	h AW s
hauserman	h AW z ER m AH n
hausky	h AO s k IY
hausman	h AW s m AH n
haute(2)	h AH t
hauter	h AW t ER
havana's	h AH v AE n AH z
havard	h AE v ER d
havener	h AE v IY n ER
havey	h EY v IY
havill	h AA v IY l
having	h AE v IH NG
havrilla	h AE v r IH l AH
hawe	h AO
hawkins	h AO k IH n z
hawks	h AO k s
hawthorn	h AO TH AO r n
haycraft	h EY k r AE f t
hayden	h EY d AH n
haydn	h AY d AH n
haydn's	h AY d AH n z
hayen	h EY AH n
hayes	h EY z
hayfield	h EY f IY l d
hayne	h EY n
haynes	h EY n z
haynesworth	h EY n z w ER TH
haystack	h EY s t AE k
hayward	h EY w ER d
hazel	h EY z AH l
hazelnuts	h EY z AH l n AH t s
hazelrigg(2)	h EY z EH l r IH g
hazeltine	h EY z AH l t AY n
hbox	EY CH b AO k s
head	h EH d
headboard	h EH d b AO r d
headed	h EH d AH d
headliners	h EH d l AY n ER z
headlines	h EH d l AY n z
heads	h EH d z
headstart	h EH d s t AA r t
headway	h EH d w EY
heald	h IY l d
healed	h IY l d
healthcare	h EH l TH k EH r
healthier	h EH l TH IY ER
heard	h ER d
hearkens	h AA r k AH n z
hearns	h ER n z
heartache	h AA r t EY k
heartbreaks	h AA r t b r EY k s
heartburn	h AA r t b ER n
hearted	h AA r t AH d
heartfelt	h AA r t f EH l t
hearths	h AA r TH s
heartily	h AA r t AH l IY
heathen	h IY DH AH n
heatwole	h IY t w OW l
heaved	h IY v d
heaves	h IY v z
heavies	h EH v IY z
heaving	h IY v IH NG
heavner	h IY v n ER
heavyhanded	h EH v IY h AE n d IH d
hebard	h EH b ER d
heberling	h EH b ER l IH NG
heck	h EH k
heck's	h EH k s
heckart	h EH k ER t
heckathorn	h EH k AH TH ER n
heckendorn	h EH k EH n d AO r n
heckled	h EH k AH l d
heckmann	h EH k m AH n
hecla	h EH k l AH
hectares	h EH k t AA r z
hectic	h EH k t IH k
hedinger(2)	h EH d IH n JH ER
hedlund	h EH d l AH n d
hedonistic	h IY d AH n IH s t IH k
hedtke	h EH d k IY
heeb	h IY b
heeds	h IY d z
heel	h IY l
heeling	h IY l IH NG
heeren	h IH r AH n
heffel	h EH f AH l
heffley	h EH f l IY
heft	h EH f t
hefti	h EH f t IY
hefty	h EH f t IY
hege	h IY JH
hegg	h EH g
heggie	h EH g IY
heglund	h EH g l AH n d
hegyi	h EY g j IY
heiberger	h AY b ER g ER
heid	h AY d
heidbrink	h AY d b r IH NG k
heidecker	h AY d IH k ER
heidemann	h AY d m AH n
heidenreich	h AY d IH n r AY k
heidi	h AY d IY
heighten	h AY t AH n
heights	h AY t s
heigl	h AY g AH l
heimburger	h AY m b ER g ER
heinburger	h AY n b ER g ER
heindl	h AY n d AH l
heineman	h AY n m AH n
heinemann	h AY n m AH n
heiner	h AY n ER
heiney	h AY n IY
heinke	h AY NG k
heinle	h AY n AH l
heinly	h AY n l IY
heinsohn	h AY n s AH n
heiny	h AY n IY
heinzel	h AY n z AH l
heir	EH r
heiresses	EH r AH s IH z
heirs	EH r z
heisinger	h AY s IH n JH ER
heisman's	h AY s m AH n z
heisner	h AY s n ER
heiss	h AY s
heit	h AY t
heitmann	h AY t m AH n
heiwa	h AY w AH
hekmatyar	h EH k m AH t j AA r
helaba	h EH l AA b AH
helber	h EH l b ER
held	h EH l d
helder	h EH l d ER
heldreth	h EH l d r IH TH
heldring	h EH l d r IH NG
helen's	h EH l IH n z
helena	h EH l AH n AH
helene	h AH l IY n
helf	h EH l f
helical	h EH l IH k AH l
helicon	h EH l IH k AA n
helicopter's	h EH l AH k AA p t ER z
helinski	h IH l IH n s k IY
helionetic	h IY l IY OW n EH t IH k
heliotrope	h IY l IY AH t r OW p
helium	h IY l IY AH m
hellaciousness	h EH l EY SH AH s n AH s
hellams	h EH l AH m z
hellfire	h EH l f AY r
hellinger	h EH l IH NG ER
hellums	h EH l AH m z
helluva	h EH l UW v AH
hellwig	h EH l w IH g
helmke	h EH l m k
helms'	h EH l m z
helms's	h EH l m z IH z
helmsleys	h EH l m z l IY z
helped	h EH l p t
helpless	h EH l p l AH s
helps	h EH l p s
hemann	h EH m AH n
hematite	h EH m AH t AY t
hemby	h EH m b IY
hemiplegia	h EH m AH p l IY JH IY AH
hemiplegia(2)	h EH m AH p l IY JH j AH
hemler	h EH m l ER
hemlo	h EH m l OW
hemlock	h EH m l AA k
hemmer	h EH m ER
hemmert	h EH m ER t
hemminghaus	h EH m IH NG h AW s
hemophilia	h IY m AH f IY l IY AH
hemophiliac(2)	h IY m OW f IH l IY AE k
hemp	h EH m p
hempel	h EH m p AH l
hempen	h EH m p AH n
henard	h EH n ER d
henault	h EH n AW l t
hence	h EH n s
hendee	h EH n d IY
henderson	h EH n d ER s AH n
hendrickson	h EH n d r IH k s AH n
hendry's	h EH n d r IY z
henery	h EH n ER IY
heng	h EH NG
henigan	h EH n IH g AH n
henk	h EH NG k
henkle	h EH NG k AH l
henley	h EH n l IY
henleys	h EH n l IY z
henneman	h EH n m AH n
hennington	h EH n IH NG t AH n
hennon	h EH n AH n
henpeck	h EH n p EH k
henrichsen	h EH n r IH k s AH n
henrick	h EH n r IH k
henrietta	h EH n r IY EH t AH
henriette	h EH n r IY EH t
henriksen	h EH n r IH k s AH n
henriquez	h EH n r IY k EH z
hensel	h EH n s AH l
henske	h EH n s k IY
hensler	h EH n s AH l ER
hepp	h EH p
herald	h EH r AH l d
heralded	h EH r AH l d IH d
herb	ER b
herb's	ER b z
herb's(2)	h ER b z
herbalife(2)	ER b AH l AY f
herbalists(2)	h ER b AH l AH s t s
herbariums	h ER b EH r IY AH m z
herber	h ER b ER
herbert's	h ER b ER t s
herbicide(2)	ER b IH s AY d
herbicides(2)	h ER b AH s AY d z
herbs	ER b z
herbster	h ER b s t ER
herculean	h ER k j UW l IY AH n
herd	h ER d
herdal	h EH r d AH l
herder	h EH r d ER
herein	h IH r IH n
hergott	h ER g AH t
hering	h ER IH NG
herlong	h ER l AO NG
herman	h ER m AH n
hermann	h ER m AH n
hermanns	h ER m AA n z
hermaphroditic	h ER m AE f r AH d IH t IH k
hermenio	h ER m EH n IY OW
hermina	h ER m IH n AH
herminie	h ER m IH n IY
hernandes(2)	h ER n AE n d EH z
hero's	h IH r OW z
hero's(2)	h IY r OW z
heroes(2)	h IY r OW z
heroine	h EH r OW AH n
heroines	h EH r OW AH n z
heroized	h IY r OW AY z d
herons	h EH r AH n z
heroux	h ER UW
herre	h EH r
herrell	h EH r AH l
herrig	h EH r IH g
herrington	h EH r IH NG t AH n
herrlinger	h EH r l IH NG ER
hershman	h ER SH m AH n
hershner	h ER SH n ER
hersom	h ER s AH m
hertel	h ER t AH l
hertz	h EH r t s
hertzenleben	h ER t AH n l EY b AH n
hervey	h ER v EY
herzog	h ER z AA g
heseltine(2)	h EH s AH l t AY n
heselton	h IH s EH l t AH n
hesheng	h EH SH EH NG
hesitantly	h EH z IH t AH n t l IY
hesitating	h EH z AH t EY t IH NG
hesitation	h EH z AH t EY SH AH n
hesler(2)	h EH s l ER
hessian	h EH SH AH n
hessling(2)	h EH s l IH NG
hesson	h EH s AH n
hesston	h EH s t AH n
heterodox	h EH t ER AH d AA k s
heterosexuality	h EH t ER OW s EH k SH AH w AE l IH t IY
hetland	h EH t l AH n d
hettel	h EH t AH l
hetz	h EH t s
hetzel	h EH t z AH l
hetzler	h EH t s l ER
heuermann	h OY ER m AH n
heuring	h ER IH NG
heuser	h OY s ER
heusser	h j UW s ER
hevia	h EY v IY AH
hewell	h EH w EH l
hewitt's	h j UW IH t s
hewler's	h j UW l ER z
hewson	h j UW s AH n
heydon	h EY d AH n
heying	h EY IH NG
heyl	h EY l
heyne	h EY n
heyser	h EY z ER
hezbollah	h EH z b AA l AH
hezbullah	h EH z b AA l AH
hezbullah(2)	h EH z b AA l AH
hiaa	EY CH AY EY EY
hiam	h AY AH m
hibbitts	h IH b IH t s
hibbs	h IH b z
hicfa	h IH k f AH
hick	h IH k
hickson	h IH k s AH n
hideout	h AY d AW t
hiding	h AY d IH NG
hieroglyph	h AY r OW g l IH f
hiester	h AY IH s t ER
higdon	h IH g d AH n
higgens	h IH g AH n z
higgerson	h IH g ER s AH n
higginbotham	h IH g IH n b AA TH AH m
higgs	h IH g z
high-level	h AY l EH v AH l
high-powered	h AY p AW ER d
high-spiritedness	h AY s p IH r IH d IH d n AH s
highboy	h AY b OY
highfliers	h AY f l AY ER z
highlander	h AY l AE n d ER
hight	h AY t
hightower	h AY t AW ER
hijack	h AY JH AE k
hijinks	h IH JH IH NG k s
hiland	h IH l AH n d
hilb	h IH l b
hilberg	h IH l b ER g
hild	h IH l d
hilde	h IH l d
hildebrand	h IH l d IH b r AE n d
hildebrandt	h IH l d IH b r AH n t
hildenbrand(2)	h IH l d AH n b r AE n d
hilderbrand	h IH l d ER b r AH n d
hilderbrandt	h IH l d ER b r AH n t
hildy	h IH l d IY
hilemon	h AY l m AH n
hiler	h AY l ER
hilgart	h IH l g AA r t
hilgers	h IH l g ER z
hilinski	h IH l IH n s k IY
hilke	h IH l k AH
hill's	h IH l z
hillard	h IH l ER d
hille	h IH l
hilley	h IH l IY
hillhaven's	h IH l h EY v AH n z
hillmann	h IH l m AH n
hillmer	h IH l m ER
hillock	h IH l AH k
hills'	h IH l z
hillsman	h IH l s m AH n
hilltop	h IH l t AA p
hilltops	h IH l t AA p s
hilly	h IH l IY
hilpert	h IH l p ER t
hilsabeck	h IH l s AH b EH k
hilson	h IH l s AH n
hilton	h IH l t AH n
himalayan	h IH m AH l EY AH n
himalayan(2)	h IH m AH l AY AH n
hime	h AY m
himes	h AY m z
himmelsbach	h IH m IH l s b AA k
hinch	h IH n CH
hinchcliff	h IH n CH k l IH f
hinchman	h IH NG k m AH n
hindered	h IH n d ER d
hinderer	h IH n d ER ER
hinderliter	h IH n d ER l IY t ER
hindley	h IH n d l IY
hindquarters(2)	h AY n d k AO r t ER z
hinds	h AY n d z
hindsight(2)	h AY n s AY t
hindu	h IH n d UW
hinerman	h AY n ER m AH n
hines	h AY n z
hingst	h IH NG s t
hinkel	h IH NG k AH l
hinkson	h IH NG k s AH n
hinrichsen	h IH n r IH k s AH n
hinted	h IH n t AH d
hintze	h IH n t z
hip-hop	h IH p h AO p
hipbones	h IH p b OW n z
hipper	h IH p ER
hippies	h IH p IY z
hippocrates	h IH p AH k r EY t s
hippocratic	h IH p AH k r AE t IH k
hippopotamus	h IH p AH p AA t AH m AH s
hipsher	h IH p SH ER
hipster	h IH p s t ER
hipwell	h IH p w EH l
hires(2)	h AY r z
hiro	h IH r OW
hirohito's	h IH r OW h IY t OW z
hirons	h AY r AH n z
hiroshi	h IH r OW SH IY
hiroshima	h IH r OW SH IY m AH
hirota	h IH r OW t AH
hirschberg	h ER SH b ER g
hirschfield	h ER s k f IY l d
hirsh	h ER SH
hirshhorn(2)	h ER SH AO r n
hirshman	h ER SH m AH n
hirst's	h ER s t s
hirulog	h IH r UW l AA g
hisses	h IH s IH z
histidine	h IH s t AH d IY n
histories(2)	h IH s t r IY z
hitched	h IH CH t
hitchens	h IH CH AH n z
hitching	h IH CH IH NG
hite	h AY t
hitherto	h IH DH ER t UW
hitler's	h IH t l ER z
hitoshi	h IH t OW SH IY
hitschler(2)	h IH CH l ER
hitter	h IH t ER
hitz	h IH t s
hitzeman	h IH t s m AH n
hiway	h AY w EY
hmm	h m
ho	h OW
hoaglin	h OW g l IH n
hoaglund	h OW g l AH n d
hoarded	h AO r d IH d
hoary	h AO r IY
hobbes	h AA b IY z
hobbles	h AA b AH l z
hobbyist	h AA b IY IH s t
hoboken	h OW b OW k AH n
hoch	h AA k
hochberg	h AA k b ER g
hochbrueckner	h AA k b r AH k n ER
hochenheim	h AO k AH n h AY m
hockenbury	h AA k AH n b EH r IY
hockey's	h AA k IY z
hockin	h AA k IH n
hocking	h AA k IH NG
hocus	h OW k AH s
hodel	h OW d AH l
hodes	h OW d z
hodges	h AA JH IH z
hodgkin's	h AA JH k IH n z
hodgkins	h AA JH k IH n z
hodgson	h AA JH s AH n
hodnett	h AA d n IH t
hoechst(2)	h OW SH t
hoecker	h OW k ER
hoedown	h OW d AW n
hoefling	h OW f AH l IH NG
hoefling(2)	h OW f l IH NG
hoefs	h OW f s
hoehn	h OW n
hoel	h OW l
hoelting	h OW l t IH NG
hoelzer	h OW l z ER
hoen	h OW n
hoeper	h OW p ER
hoepfner(2)	h OW p n ER
hoepner	h OW p n ER
hoffarth	h AO f AA r TH
hoffenberg	h AO f AH n b ER g
hofferber	h AO f ER b ER
hoffpauir	h AO f p AW ER
hofland	h AA f l AH n d
hofmann	h AA f m AH n
hog	h AA g
hogberg	h AA g b ER g
hoggard	h AA g ER d
hogge	h AA g
hoglund	h AO g l AH n d
hoglund's	h AO g l AH n d z
hogrefe	h AA g r IH f
hogsed	h OW g s t
hohorst	h OW h AO r s t
hohos	h OW h OW z
hoisted(2)	h OY s t IH d
hoisting	h OY s t IH NG
hokanson	h AA k AH n s AH n
hokum	h OW k AH m
hokuriku	h AA k ER IY k UW
hola	h OW l AH
holbein	h OW l b AY n
holben	h OW l b AH n
holda	h OW l d AH
holden	h OW l d AH n
holderbaum	h OW l d ER b AW m
holderfield	h OW l d ER f IY l d
holderman	h OW l d ER m AH n
holding	h OW l d IH NG
holdups	h OW l d AH p s
holed	h OW l d
holeman	h OW l m AH n
holen	h OW l AH n
holgerson	h OW l g ER s AH n
holian	h OW l IY AH n
holl	h AA l
hollabaugh	h AA l AH b AO
hollander	h AA l AH n d ER
hollett	h AA l IH t
hollie	h AA l IY
hollings(2)	h AA l IH NG g z
hollins	h AA l IH n z
hollinsworth	h AA l IH n s w ER TH
hollinsworth(2)	h AA l IH n z w ER TH
hollis	h AA l IH s
hollobaugh	h AA l AH b AO
holloran	h AA l ER AH n
hollow	h AA l OW
hollowell	h AA l AH w EH l
hollstein	h AA l s t AY n
holmberg	h OW l m b ER g
holmer	h OW l m ER
holness	h AA l n IH s
holocaust	h AA l AH k AO s t
holographic	h AA l AH g r AE f IH k
holsclaw	h OW l s k l AO
holstine	h OW l s t AY n
holt's	h OW l t s
holte	h OW l t
holtzinger	h OW l t z IH NG ER
holweger	h OW l w IH g ER
holyoke	h OW l IY OW k
holzer	h OW l z ER
holzmann	h OW l z m AH n
holzworth	h OW l z w ER TH
hom	h AA m
homan	h OW m AH n
home-school	h OW m s k UW l
homebuyer	h OW m b AY ER
homecoming	h OW m k AH m IH NG
homefront	h OW m f r AH n t
homeland	h OW m l AE n d
homemaker	h OW m m EY k ER
homeowners'	h OW m OW n ER z
homepage	h OW m p EY JH
homers	h OW m ER z
homerun	h OW m r AH n
homes'	h OW m z
homesick	h OW m s IH k
homesley	h OW m z l IY
homestake's	h OW m s t EY k s
homestate	h OW m s t EY t
homestead	h OW m s t EH d
homestead's	h OW m s t EH d z
homilies	h OW m AH l IY z
homing	h OW m IH NG
hommes	h AA m z
homogenization	h OW m AA JH AH n IH z EY SH AH n
homolka	h AH m AA l k AH
homophobia	h OW m AH f OW b IY AH
homs	h AA m z
honasan	h AA n AH z AH n
hondas	h AA n d AH s
honderich	h AA n d ER IH k
honeck	h OW n EH k
hones	h OW n z
honeydew	h AH n IY d UW
honeymoon	h AH n IY m UW n
honeymooned	h AH n IY m UW n d
honeymoons	h AH n IY m UW n z
honeywell's	h AH n IY w EH l z
hong-kong	h AO NG k AO NG
honk(2)	h AO NG k
honore	AA n ER
honored	AA n ER d
honoring	AA n ER IH NG
honors	AA n ER z
honour	AA n ER
honourably	AA n ER AH b l IY
hoo	h UW
hoobler	h UW b l ER
hoodlums	h UW d l AH m z
hoods	h UH d z
hook's	h UH k s
hooks	h UH k s
hookup	h UH k AH p
hooky	h UH k IY
hooley	h UW l IY
hooten	h UW t AH n
hootie	h UW t IY
hoover's	h UW v ER z
hooves	h UH v z
hooves(2)	h UW v z
hopalong	h AA p AH l AO NG
hope	h OW p
hopefully	h OW p f AH l IY
hopelessly	h OW p l AH s l IY
hopf	h AA p f
hopfensperger(2)	h AA f IH n s p ER g ER
hopfinger	h AA p f IH NG ER
hopkins	h AA p k IH n z
hopkyns	h AA p k IH n z
hoppe	h AA p
hops	h AA p s
hopton	h AA p t AH n
hora	h AO r AH
horacio	h AO r EY s IY OW
hordes	h AO r d z
horehound	h AA r h AW n d
horenstein(2)	h AO r AH n s t IY n
horizons	h ER AY z AH n z
horizontally	h AO r IH z AA n t AH l IY
horkey	h AO r k IY
hormann	h AO r m AH n
hornburg	h AO r n b ER g
horned	h AO r n d
hornless	h AO r n l AH s
hornstein(2)	h AO r n s t IY n
horny	h AO r n IY
horoscopes	h AO r AH s k OW p s
horr	h AO r
horse	h AO r s
horseflesh	h AO r s f l EH SH
horsemen	h AO r s m AH n
horsham	h AO r SH AH m
horticultural	h AO r t AH k AH l CH ER AH l
horticulture	h AO r t IH k AH l CH ER
horton	h AO r t AH n
horvac's	h AO r v AE k s
horvat	h AO r v AH t
horvitz	h AO r v IH t s
horwath	h AO r w AO TH
hoselton	h AH s EH l t AH n
hosiery	h OW ZH ER IY
hoskins	h AA s k IH n z
hosni	h OW z n IY
hosni(2)	h AO s n IY
hospice	h AA s p AH s
hospital	h AA s p IH t AH l
hospital's	h AA s p IH t AH l z
hospitalization	h AA s p IH t AH l AH z EY SH AH n
hospitals'	h AO s p IH t AH l z
hossack	h AA s AH k
hossler	h AA s AH l ER
hostel	h AA s t AH l
hostetter	h AA s t IH t ER
hostile(2)	h AA s t AY l
hostilities	h AA s t IH l AH t IY z
hostility	h AA s t IH l AH t IY
hostutler	h AA s t UW t AH l ER
hot-shot	h AA SH AA t
hotaling	h AA t AH l IH NG
hote	h OW t
hotel's	h OW t EH l z
hoth	h AA TH
hothouses	h AA t h AW s IH z
hotlanta	h AO t l AE n t AH
hotshot	h AA SH AA t
hotwire	h AA t w AY ER
houchens	h AW k AH n z
houg	h AW g
houghtaling	h AO t AH l IH NG
houghton(2)	h AW t AH n
houle	h AW l
houlihan	h UW l IH h AE n
hours'	AW r z
hours(2)	AW r z
houseboat	h AW s b OW t
housed	h AW z d
houseful	h AW s f AH l
houseraising	h AW s r EY z IH NG
houseware	h AW s w EH r
housewife	h AW s w AY f
housewright	h AW s r AY t
housholder	h AW SH OW l d ER
houx	h UW
houy	h AA AY
houze	h AW z
hovanec	h AH v AE n IH k
hovda	h AA v d AH
hovde	h OW v d
hove	h OW v
hovering	h AH v ER IH NG
hoving	h OW v IH NG
how-about	h AW AH b AW t
howard	h AW ER d
howat	h AW AH t
howatt	h AW AH t
howells	h AW AH l z
hower	h AW ER
howerton	h AW ER t AH n
howes	h AW z
howie	h AW IY
howington	h AW IH NG t AH n
howitt	h AW IH t
howitzers	h AW AH t s ER z
howled	h AW l d
howlett	h AW l IH t
howry	h AW r IY
howze	h AW z
hoxie	h AA k s IY
hoxsey	h AA k s IY
hoylake	h OY l EY k
hoyland	h OY l AH n d
hoyt	h OY t
hr	EY CH AA r
hreha(2)	r IY h AH
hren	h r EH n
hrivnak(2)	r IH v n AH k
hrncir	h ER n CH ER
hsiung's	SH j AH NG z
hsu	SH UW
hua(2)	h w AA
huaneng	h w AA n EH NG
huard	h w AA r d
hubcap	h AH b k AE p
huberty	h AH b ER t IY
hubris	h j UW b r AH s
huckaba	h AH k AH b AH
hucker	h AH k ER
hucksters	h AH k s t ER z
hud's	h AH d z
huddleson	h AH d AH l s AH n
hudgens	h AH JH AH n z
hudler	h UW d AH l ER
hudson	h AH d s AH n
hudwon	h AH d w AH n
hueber	h UH b ER
hued	h j UW d
hues	h j UW z
huetta	h UW EH t AH
huettl	h UH t AH l
hufbauer	h AH f b AW ER
huff	h AH f
huffines	h AH f AY n z
huffing	h AH f IH NG
huffington	h AH f IH NG t AH n
hufnagel	h AH f n EY g AH l
hufstedler	h AH f s t IH d AH l ER
hufstetler(2)	h AH f s t EH t l ER
hugely	h j UW JH l IY
hugger	h AH g ER
hugging	h AH g IH NG
huggy	h AH g IY
hughbanks(2)	h j UW b AH NG k s
hughes'	h j UW z
hughey	h AH g IY
hughie	h j UW IY
hughley	h AH g l IY
hughs	j UW z
hughson(3)	j UW s AH n
hughston(3)	j UW s t AH n
hugo	h j UW g OW
hugo's	h j UW g OW z
hugo's(2)	j UW g OW z
hugo(2)	j UW g OW
hugoton	h j UW g OW t AH n
huie	h j UW IY
huish	h j UW IH SH
hulburt	h AH l b ER t
huldie	h AH d IY
huling	h j UW l IH NG
huling(2)	j UW l IH NG
hulk	h AH l k
hulking	h AH l k IH NG
hull	h AH l
hullabaloo	h AH l AH b AH l UW
hulls	h AH l z
hulon	h j UW l AH n
hulond	h j UW l AH n d
hulsey	h AH l s IY
hulsizer	h AH l s AY z ER
hulu	h UW l UW
human	h j UW m AH n
humana	h j UW m AE n AH
humana's	h j UW m AE n AH z
humanistic	h j UW m AH n IH s t IH k
humanitarians(2)	j UW m AE n AH t EH r IY AH n z
humanities	h j UW m AE n IH t IY z
humanity	h j UW m AE n IH t IY
humanize	h j UW m AH n AY z
humanizing	h j UW m AH n AY z IH NG
humber	h AH m b ER
humberto(2)	UW m b EH r t OW
humdinger	h AH m d IH NG ER
humes	h j UW m z
humidity	h j UW m IH d AH t IY
hummell	h AH m AH l
humorist	h j UW m ER AH s t
humour	h j UW m ER
humpert	h AH m p ER t
humphery(2)	h AH m f r IY
humphrey	h AH m f r IY
hums	h AH m z
hundred	h AH n d r AH d
hundreds(2)	h AH n d ER d z
hundredth	h AH n d r AH d TH
hungary	h AH NG g ER IY
hungrier	h AH NG g r IY ER
hunkele	h AH NG k AH l
hunkering	h AH NG k ER IH NG
hunsberger	h AH n s b ER g ER
hunte	h AH n t
hunter	h AH n t ER
huntingdon	h AH n t IH NG d IH n
huntoon	h AH n t UW n
huntway	h AH n t w EY
huntzinger	h AH n t z IH NG ER
hunzeker	h AH n z IH k ER
hunziker	h AH n z IH k ER
hupfer	h AH p f ER
hurdles	h ER d AH l z
hurlbert	h ER l b ER t
hurly	h ER l IY
hurm	h ER m
hurray	h AH r EY
hurricane(2)	h AH r AH k EY n z
hurta	h ER t AH
hurtling	h ER t l IH NG
hurts	h ER t s
husain	h AH s AY n
huseby	h AH s IH b IY
husen	h UW s AH n
hushed	h AH SH t
husk	h AH s k
husky	h AH s k IY
husted	h AH s t IH d
hustlers(2)	h AH s l ER z
hut	h AH t
hutch	h AH CH
huts	h AH t s
hutson	h AH t s AH n
hutton's	h AH t AH n z
huwe	h UW w
huxtables	h AH k s t AH b AH l z
huyett	h AY IH t
hwe	h w EY
hyakutake	h AY AH k UW t AA k IY
hyaluronic	h AY AH l ER AA n IH k
hyams	h AY AH m z
hyannisport	h AY AE n IH s p AO r t
hybl	h IH b AH l
hybrid	h AY b r AH d
hybridization	h AY b r AH d AH z EY SH AH n
hyche	h AY CH
hyde's	h AY d z
hydeia	h AY d EY AH
hyder	h AY d ER
hyderabad	h AY d EH r AH b AE d
hydock	h AY d AH k
hydra	h AY d r AH
hydrants	h AY d r AH n t s
hydration	h AY d r EY SH AH n
hydro	h AY d r OW
hydrocarbon	h AY d r OW k AA r b AH n
hydrocarbons	h AY d r OW k AA r b AH n z
hydrolyzed	h AY d r AH l AY z d
hydrometer	h AY d r AA m AH t ER
hydroponic	h AY d r AH p AA n IH k
hydropower	h AY d r OW p AW r
hyenas	h AY IY n AH z
hyers	h AY ER z
hygeia	h AY JH EY AH
hygienist	h AY g IY n IH s t
hygienist(2)	h AY g EH n IH s t
hygienists	h AY g IY n IH s t s
hygienists(4)	h AY g EH n IH s
hyman	h AY m AH n
hymes	h AY m z
hymie	h AY m IY
hymnology	h IH m n AA l AH JH IY
hynd	h IH n d
hyperinflation	h AY p ER IH n f l EY SH AH n
hyperlink	h AY p ER l IH NG k
hypermarkets	h AY p ER m AA r k IH t s
hyperopia	h AY p ER OW p IY AA
hyperspace	h AY p ER s p EY s
hypertrophy	h AY p ER t r OW f IY
hyphenates	h AY f AH n EY t s
hyphenation	h AY f AH n EY SH AH n
hypnotism	h IH p n AH t IH z AH m
hypoglycemic	h AY p OW g l AY s IY m IH k
hypotheses	h AY p AA TH AH s IY z
hypothesized	h AY p AA TH AH s AY z d
hypothetical	h AY p AH TH EH t AH k AH l
hysong	h AY s AO NG
hysteric	h IH s t EH r IH k
i'd	AY d
i'ers	AY ER z
iacobelli	IY AA k OW b EH l IY
iacono	AY AH k OW n OW
iain	IY EY n
iakovos	IY AA k OW v OW s
iannaccone	IY AA n AH k OW n IY
iannello	IY AH n EH l OW
ianovski	j AH n AA v s k IY
ianovski(2)	j AH n AA f s k IY
ianthe	IY AA n TH EY
iason	IY AH s AH n
ib	IH b
iba	IY b AH
iberia's	AY b IH r IY AH z
ibid	IH b IH d
ibmer	IH b m ER
ibmers	IH b m ER z
icarus	IH k ER AH s
ice-cream	AY s k r IY m
icelandair	AY s l AE n d EH r
iceman	AY s m AE n
ices(2)	AY s IH z
iceskating	AY s s k EY t IH NG
ichi	IY CH IY
icing	AY s IH NG
ickes'	IH k AH s
icons	AY k AA n z
idaho's	AY d AH h OW z
ide	AY d
idea	AY d IY AH
idealistically	AY d IY AH l IH s t IH k l IY
ident	AY d EH n t
identa	AY d EH n t AH
identics	AY d EH n t IH k s
identifications	AY d EH n t AH f AH k EY SH AH n z
identifies	AY d EH n t AH f AY z
identify	AY d EH n t AH f AY
identikit	AY d EH n t IH k IH t
idette	AY d EH t
idiopath	IH d IY OW p AE TH
idiosyncrasies	IH d IY OW s IH n k r AH s IY z
idiotic	IH d IY AA t IH k
idiots	IH d IY AH t s
idles	AY d AH l z
idly	AY d l IY
idolatry	AY d AA l AH t r IY
idolize	AY d AH l AY z
idrocarburi	IH d r AA k AA r b UH r IY
ierne	IH r n
ifas	AY f AH s
ifint	AY f IH n t
ifs	IH f s
ignace	IH g n AH s
ignatia	IH g n AA SH AH
ignite	IH g n AY t
igo	IY g OW
igou	IH g UW
igushi	IH g UW SH IY
ihnen	IH n AH n
ihrig	IH r IH g
ihrke	IH r k
ijames	IH j AA m EH s
ike's	AY k s
ikea	AY k IY AH
ikeuchi	IY k UW CH IY
ikey	IH k IY
ikon	AY k AA n
ilan	IY l AA n
ilene	IH l IY n
iliad	IH l IY AH d
iliano	IH l IY AA n OW
iliff	IH l IH f
illegals	IH l IY g AH l z
illes	AY l z
illiquid	IH l IH k w IH d
illogic	IH l AA JH IH k
illuminated	IH l UW m AH n EY t AH d
illumination	IH l UW m AH n EY SH AH n
illustrations	IH l AH s t r EY SH AH n z
illustrators	IH l AH s t r EY t ER z
illyrian	IH l IH r IY AH n
ilo	AY l OW
ilsa	IH l s AH
ilsley	IH l z l IY
images	IH m AH JH AH z
images(2)	IH m IH JH IH z
imaginations	IH m AE JH AH n EY SH AH n z
imax	AY m AE k s
imbrogno	IH m b r OW g n OW
imbue	IH m b j UW
imbued	IH m b j UW d
imitate	IH m AH t EY t
imitated	IH m AH t EY t IH d
imlay	IH m l EY
immanuel	IH m AH n UH l
