'bout	b AW t
keyes'	k IY z
keyhole	k IY h OW l
keyholes	k IY h OW l z
keying	k IY IH NG
keyless	k IY l AH s
keylon	k EY l AH n
keynes	k EY n z
keynesian	k EY n z IY AH n
keynesians	k EY n z IY AH n z
keynote	k IY n OW t
keynotes	k IY n OW t s
keypad	k IY p AE d
keypad's	k IY p AE d z
keypads	k IY p AE d z
keys	k IY z
keyser	k AY z ER
keysor	k IY s ER
keystone	k IY s t OW n
keystone's	k IY s t OW n z
keystones	k IY s t OW n z
keystroke	k IY s t r OW k
keystrokes	k IY s t r OW k s
keyton	k IY t AH n
keyword	k IY w ER d
keywords	k IY w ER d z
keyworth	k IY w ER TH
keziah	k AH z IY AH
kganakga	k AH g AH n AE g AH
kgb	k EY JH IY b IY
kgori	k AH g AO r IY
khabarovsk	k AE b ER AA f s k
khachigian	k AH SH IY g IY AH n
khad	k AE d
khadafi	k AH d AA f IY
khaki	k AA k IY
khaki(2)	k AE k IY
khakis	k AE k IY z
khalaf	k AE l AH f
khaled	h AH l AH d
khaled(2)	k AH l AH d
khalid	k AA l IH d
khalid(2)	h AA l IH d
khalid's	k AA l IH d z
khalid's(2)	h AA l IH d z
khalifa	k AH l IY f AH
khalil	k AE l AH l
khalsa	k AA l s AH
khamenei	k AH m EY n IY
khan	k AA n
khan's	k AA n z
khanate	k AA n EY t
khanna	k AE n AH
kharg	k AA r g
khartoum	k AA r t UW m
khasbulatov	k AA s b AH l AA t AA f
khasbulatov's	k AA s b AH l AA t AA f s
khashoggi	k AH SH AA JH IY
khat	k AA t
khatami	k AH t AA m IY
khatami's	k AH t AA m IY z
khazakhstan	k AH z AE k s t AA n
khe	k EY
kheel	k IY l
khem	k EH m
khlebnikov	k l EH b n IH k AA v
khlebnikov's	k l EH b n IH k AA v z
khmer	k m EH r
khomeini	k OW m EY n IY
khomeini(2)	h OW m EY n IY
khomeini's	h OW m EY n IY z
khomeini's(2)	k OW m EY n IY z
khoo	k UW
khosla	k AO s l AH
khost	k OW s t
khouri	k AW r IY
khoury	k AW r IY
khrushchev	k r UW s CH EH v
khrushchev(2)	k r UW s CH AO f
khrushchev's	k r UW s CH EH v z
khrushchev's(2)	k r UW s CH AO f s
khufu	k UW f UW
khumalo	k j UW m AA l OW
khuu	k UW
ki	k IY
kia	k IY ER
kiam	k IY AH m
kian	k IY AH n
kiawah	k AY AH w AH
kiawah(2)	k IY AH w AH
kibbe	k IH b
kibbee	k IH b IY
kibbel	k IH b AH l
kibbey	k IH b IY
kibble	k IH b AH l
kibbutz	k IH b UH t s
kibbutzim	k IH b UH t s IH m
kibbutznik	k IH b UH t s n IH k
kibbutzniks	k IH b UH t s n IH k s
kibby	k IH b IY
kibeho	k IH b AH h OW
kibell	k IH b AH l
kibler	k IH b l ER
kibodeaux	k IH b AH d OW
kibumba	k IH b UW m b AH
kichline	k IH k l AY n
kick	k IH k
kick-ass	k IH k AE s
kickback	k IH k b AE k
kickbacks	k IH k b AE k s
kicked	k IH k t
kicker	k IH k ER
kickers	k IH k ER z
kicking	k IH k IH NG
kicklighter	k IH k l AY t ER
kickoff	k IH k AO f
kicks	k IH k s
kickstarter	k IH k s t AA r t ER
kid	k IH d
kid's	k IH d z
kida	k IY d AH
kidd	k IH d
kidde	k IH d
kidded	k IH d IH d
kidder	k IH d ER
kidder's	k IH d ER z
kiddie	k IH d IY
kiddies	k IH d IY z
kidding	k IH d IH NG
kiddingly	k IH d IH NG l IY
kiddle	k IH d AH l
kiddy	k IH d IY
kidman	k IH d m AH n
kidnap	k IH d n AE p
kidnaped	k IH d n AE p t
kidnaping	k IH d n AE p IH NG
kidnapped	k IH d n AE p t
kidnapper	k IH d n AE p ER
kidnappers	k IH d n AE p ER z
kidnapping	k IH d n AE p IH NG
kidnappings	k IH d n AE p IH NG z
kidnaps	k IH d n AE p s
kidney	k IH d n IY
kidneys	k IH d n IY z
kido	k IY d OW
kids	k IH d z
kids'	k IH d z
kidstock	k IH d s t AA k
kidwa	k IH d w AH
kidwell	k IH d w EH l
kiechl	k IY CH AH l
kiechl(2)	k AY CH AH l
kiecker	k IY k ER
kiedrowski	k IY d r AO f s k IY
kief	k IY f
kiefer	k IY f ER
kieffer	k IY f ER
kieft	k IY f t
kiehl	k IY l
kiehn	k IY n
kiehne	k IY n
kiel	k IY l
kielar	k IY l ER
kielb	k IY l b
kielbasa	k IY l b AA s AH
kieler	k IY l ER
kielley	k IY l IY
kielman	k IY l m AH n
kielty	k IY l t IY
kiely	k IY l IY
kienan	k IY n AH n
kienast	k IY n AH s t
kiene	k IY n
kiener	k IY n ER
kieninger	k IY n IH NG ER
kienitz	k IY n IH t s
kienle	k IY n AH l
kientz	k IY n t s
kienzle	k IY n z AH l
kieper	k IY p ER
kier	k IH r
kieran	k IY r AH n
kiernan	k IH r n AH n
kierscht	k IH r SH t
kierstead	k IH r s t EH d
kierulff	k IY r AH l f
kies	k AY s
kieschnick	k IY SH n IH k
kiesel	k IY s AH l
kieselmann	k IY z AH l m AH n
kieser	k IY s ER
kiesewetter	k IY s UW IH t ER
kiesler	k IY z l ER
kiesling	k IY z l IH NG
kiesow	k IY s OW
kiess	k IY s
kiessling	k IY s l IH NG
kiester	k AY IH s t ER
kietzman	k IY t s m AH n
kiev	k IY EH v
kiev's	k IY EH v z
kievan	k IY v AH n
kievit	k IY v IH t
kiewit	k IY w IH t
kifer	k AY f ER
kiff	k IH f
kigale	k IY g AA l IY
kigale's	k IY g AA l IY z
kigali	k IY g AA l IY
kigali's	k IY g AA l IY z
kiger	k AY g ER
kiggins	k IH g IH n z
kight	k AY t
kightlinger	k AY t AH l IH NG ER
kightlinger(2)	k AY t l IH NG ER
kihn	k IH n
kiichi	k IY IY CH IY
kiichi(2)	k IY CH IY
kijowski	k IH j AO f s k IY
kika	k IH k AH
kikatte	k IH k AE t
kiker	k AY k ER
kiki	k IY k IY
kikkoman	k IY k OW m AA n
kikta	k IH k t AH
kikuchi	k IY k UW CH IY
kikumura	k IY k UW m UW r AH
kikwit	k IH k w IH t
kila	k IH l AH
kilauea	k IY l AW EY AH
kilbane	k IH l b AH n
kilborn	k IH l b ER n
kilborne	k IH l b AO r n
kilbourn	k IH l b ER n
kilbourne	k IH l b ER n
kilbride	k IH l b r AY d
kilburg	k IH l b ER g
kilburn	k IH l b ER n
kilbury	k IH l b EH r IY
kilby	k IH l b IY
kilby's	k IH l b IY z
kilcoin	k IH l k OY n
kilcoyne	k IH l k OY n
kilcrease	k IH l k r IY s
kilcrease(2)	k IH l k r IY s
kilcullen	k IH l k AH l AH n
kilday	k IH l d EY
kildee	k IH l d IY
kildow	k IH l d OW
kilduff	k IH l d AH f
kile	k AY l
kilen	k IH l AH n
kiley	k AY l IY
kilgo	k IH l g OW
kilgore	k IH l g AO r
kilgour	k IH l g ER
kilgus	k IH l g AH s
kilian	k IH l IY AH n
kilimanjaro	k IH l IY m AH n JH AA r OW
kilimanjaro(2)	k IH l AH m AH n JH AA r OW
kilkenny	k IH l k EH n IY
kilkenny's	k IH l k EH n IY z
kilker	k IH l k ER
kill	k IH l
killam	k IH l AH m
kille	k IH l
killeagh	k IH l IY g
killebrew	k IH l IH b r UW
killed	k IH l d
killeen	k IH l IY n
killen	k IH l AH n
killer	k IH l ER
killer's	k IH l ER z
killers	k IH l ER z
killey	k IH l IY
killgore	k IH l g AO r
killian	k IH l j AH n
killifish	k IH l IH f IH SH
killilea	k IH l IH l IY AH
killin	k IH l IH n
killing	k IH l IH NG
killingbeck	k IH l IH NG b EH k
killinger	k IH l IH NG ER
killings	k IH l IH NG z
killingsworth	k IH l IH NG z w ER TH
killington	k IH l IH NG t AH n
killion	k IH l j AH n
killjoy	k IH l JH OY
killman	k IH l m AH n
killman's	k IH l m AH n z
killmer	k IH l m ER
killmon	k IH l m AH n
killoran	k IH l ER AH n
killory	k IH l ER IY
killough	k IH l AW
killpack	k IH l p AE k
kills	k IH l z
kilman	k IH l m AH n
kilmarnock	k IH l m AA r n AA k
kilmartin	k IH l m AA r t IH n
kilmer	k IH l m ER
kiln	k IH l n
kilns	k IH l n z
kilo	k IH l OW
kilobit	k IH l AH b IH t
kilobyte	k IH l OW b AY t
kilobytes	k IH l OW b AY t s
kilogram	k IH l AH g r AE m
kilograms	k IH l AH g r AE m z
kilometer	k AH l AA m AH t ER
kilometer(2)	k IH l AH m IY t ER
kilometers	k AH l AA m AH t ER z
kilometers(2)	k IH l AH m IY t ER z
kilometre	k IH l AO m AH t ER
kilometre(2)	k IH l AH m IY t ER
kilometres	k IH l AO m AH t ER z
kilometres(2)	k IH l AH m IY t ER z
kilos	k IY l OW z
kilowatt	k IH l AH w AA t
kilowatts	k IH l AH w AA t s
kilpatrick	k IH l p AE t r IH k
kilroy	k IH l r OY
kilt	k IH l t
kilter	k IH l t ER
kilton	k IH l t AH n
kilts	k IH l t s
kilty	k IH l t IY
kilzer	k IH l z ER
kim	k IH m
kim's	k IH m z
kimba	k IH m b AH
kimball	k IH m b AH l
kimball's	k IH m b AH l z
kimbel	k IH m b AH l
kimbell	k IH m b EH l
kimber	k IH m b ER
kimberley	k IH m b ER l IY
kimberlin	k IH m b ER l IH n
kimberling	k IH m b ER l IH NG
kimberly	k IH m b ER l IY
kimberly's	k IH m b ER l IY z
kimble	k IH m b AH l
kimbler	k IH m b l ER
kimbley	k IH m b l IY
kimbrel	k IH m b r AH l
kimbrell	k IH m b r AH l
kimbriel	k IH m b r IY AH l
kimbro	k IH m b r OW
kimbrough	k IH m b r AW
kimche	k IH m CH IY
kimchee	k IH m CH IY
kimchi	k IH m CH IY
kimco	k IH m k OW
kime	k AY m
kimel	k IH m AH l
kimery	k IH m ER IY
kimes	k AY m z
kimler	k IH m AH l ER
kimler(2)	k IH m l ER
kimm	k IH m
kimmel	k IH m AH l
kimmell	k IH m AH l
kimmelman	k IH m AH l m AH n
kimmer	k IH m ER
kimmerle	k IH m ER AH l
kimmet	k IH m IH t
kimmey	k IH m IY
kimmich	k IH m IH CH
kimmins	k IH m IH n z
kimmitt	k IH m IH t
kimmons	k IH m AH n z
kimono	k AH m OW n AH
kimonos	k AH m OW n AH z
kimoto	k IY m OW t OW
kimpel	k IH m p AH l
kimple	k IH m p AH l
kimpo	k IH m p OW
kimpton	k IH m p t AH n
kimrey	k IH m r IY
kims	k IH m z
kimsey	k IH m z IY
kimura	k IY m UH r AH
kimwipe	k IH m w AY p
kimwipes	k IH m w AY p s
kimzey	k IH m z IY
kin	k IH n
kin's	k IH n z
kinard	k IH n ER d
kinark	k IH n AA r k
kinase	k AY n EY z
kinburn	k IH n b ER n
kincade	k IH n k EY d
kincaid	k IH n k EY d
kincaid's	k IH n k EY d z
kincannon	k IH n k AE n AH n
kincer	k IH n s ER
kinch	k IH n CH
kincheloe	k IH n CH IH l OW
kinchen	k IH NG k AH n
kincy	k IH n s IY
kind	k AY n d
kinda	k IH n d AH
kindall	k IH n d AH l
kindel	k IH n d AH l
kindell	k IH n d AH l
kinder	k AY n d ER
kindergarten	k IH n d ER g AA r t AH n
kindergartens	k IH n d ER g AA r t AH n z
kindergartner	k IH n d ER g AA r t n ER
kindergartners	k IH n d ER g AA r t n ER z
kinderman	k AY n d ER m AH n
kindest	k AY n d AH s t
kindig	k IH n d IH g
kindle	k IH n d AH l
kindleberger	k IH n d AH l b ER g ER
kindled	k IH n d AH l d
kindler	k IH n d AH l ER
kindler(2)	k IH n d l ER
kindley	k IH n d l IY
kindling	k IH n d l IH NG
kindly	k AY n d l IY
kindness	k AY n d n AH s
kindran	k IH n d r AH n
kindred	k IH n d r IH d
kindrick	k IH n d r IH k
kinds	k AY n d z
kinds(2)	k AY n z
kindt	k IH n t
kindy	k AY n d IY
kinect	k IH n EH k t
kinepolis	k IH n EH p AH l IH s
kiner	k AY n ER
kines	k AY n z
kinesiology	k IH n IH s IY AA l AH JH IY
kinesthetic	k IH n AH s TH EH t IH k
kineta	k IH n IH t AH
kinetic	k AH n EH t IH k
kinetic(2)	k IH n EH t IH k
kinetics	k AH n EH t IH k s
king	k IH NG
king's	k IH NG z
kingbird	k IH NG b ER d
kingbirds	k IH NG b ER d z
kingdom	k IH NG d AH m
kingdom's	k IH NG d AH m z
kingdoms	k IH NG d AH m z
kingdon	k IH NG d AH n
kingen	k IH NG AH n
kingery	k IH NG g ER IY
kingfisher	k IH NG f IH SH ER
kingfishers	k IH NG f IH SH ER z
kingham	k IH NG h AE m
kinghorn	k IH NG h ER n
kingly	k IH NG l IY
kingma	k IH NG m AH
kingmaker	k IH NG m EY k ER
kingmakers	k IH NG m EY k ER z
kingman	k IH NG m AH n
kingon	k IH NG AO n
kingpin	k IH NG p IH n
kingpins	k IH NG p IH n z
kingrey	k IH NG g r IY
kingry	k IH NG g ER IY
kings	k IH NG z
kings'	k IH NG z
kingsborough	k IH NG z b ER OW
kingsbridge	k IH NG z b r IH JH
kingsbury	k IH NG z b EH r IY
kingsey	k IH NG z IY
kingsford	k IH NG s f ER d
kingship	k IH NG SH IH p
kingsland	k IH NG z l AE n d
kingsley	k IH NG z l IY
kingsley's	k IH NG z l IY z
kingsolver	k IH NG s AA l v ER
kingsport	k IH NG s p AO r t
kingston	k IH NG s t AH n
kingsun	k IH NG s AH n
kingsville	k IH NG z v IH l
kingsway	k IH NG g z w EY
kingswell	k IH NG g z w EH l
kington	k IH NG t AH n
kinion	k IH n j AH n
kiniry	k IH n AY r IY
kinkade	k IH NG k AH d
kinkead	k IH NG k EH d
kinkel	k IH NG k AH l
kinker	k IH NG k ER
kinkle	k IH NG k AH l
kinko	k IH NG k OW
kinko's	k IH NG k OW z
kinks	k IH NG k s
kinky	k IH NG k IY
kinlaw	k IH n l AO
kinley	k IH n l IY
kinloch	k IH n l AH k
kinman	k IH n m AH n
kinmen	k IH n m EH n
kinn	k IH n
kinnaird	k IH n ER d
kinnaman	k IH n AH m AH n
kinnamon	k IH n AH m AH n
kinnan	k IH n AH n
kinnard	k IH n ER d
kinne	k IH n
kinnear	k IH n IH r
kinnebrew	k IH n IH b r UW
kinnell	k IH n AH l
kinner	k IH n ER
kinnett	k IH n IH t
kinney	k IH n IY
kinnick	k IH n IH k
kinnie	k IH n IY
kinnison	k IH n IH s AH n
kinnock	k IH n AH k
kinnock's	k IH n AH k s
kinnunen	k IH n AH n AH n
kinny	k IH n IY
kinoshita	k IY n OW SH IY t AH
kinsel	k IH n s AH l
kinsell	k IH n s AH l
kinsella	k IY n s EH l AH
kinser	k IH n s ER
kinsey	k IH n z IY
kinshasa	k IH n SH AA s AH
kinshasa(2)	k IH n SH AE s AH
kinship	k IH n SH IH p
kinsinger	k IH n s IH n JH ER
kinsler	k IH n s AH l ER
kinsler(2)	k IH n s l ER
kinsley	k IH n z l IY
kinsley's	k IH n z l IY z
kinslow	k IH n s l OW
kinsman	k IH n z m AE n
kinst	k IH n s t
kinstler	k IH n s t l ER
kinston	k IH n s t AH n
kint	k IH n t
kinter	k IH n t ER
kintigh	k IH n t AY
kintner	k IH n t n ER
kinton	k IH n t AH n
kintz	k IH n t s
kintzel	k IH n t z AH l
kinyon	k IH n j AH n
kinzel	k IH n z AH l
kinzer	k IH n z ER
kinzey	k IH n z IY
kinzie	k IH n z IY
kinzler	k IH n z l ER
kinzlmaier	k IH n z AH l m AY ER
kiosk	k IY AO s k
kiosks	k IY AO s k s
kious	k AY AH s
kip	k IH p
kiper	k AY p ER
kipfer	k IH p f ER
kipling	k IH p l IH NG
kiplinger	k IH p AH l IH NG ER
kiplinger(2)	k IH p l IH NG ER
kiplinger's	k IH p l IH NG ER z
kipnis	k IH p n IH s
kipp	k IH p
kipper	k IH p ER
kipperman	k IH p ER m AH n
kippers	k IH p ER z
kippes	k IH p s
kippur	k IH p ER
kir	k IH r
kira	k IH r AA
kiracofe	k IH r AH k OW f
kiraly	k IH r AH l IY
kirby	k ER b IY
kirby's	k ER b IY z
kirch	k ER k
kirchberg	k ER k b ER g
kirchberg(2)	k ER CH b ER g
kirchberger	k ER CH b ER g ER
kirchen	k ER k AH n
kircher	k ER k ER
kirchgessner	k ER k g IH s n ER
kirchhofer	k ER k h AH f ER
kirchhoff	k ER k h AO f
kirchman	k ER k m AH n
kirchner	k ER k n ER
kirchners	k ER k n ER z
kirchoff	k ER k h AO f
kirgan	k ER g AH n
kirgiz	k IH r g IH z
kiri	k IH r IY
kiribati	k IH r IH b AA t IY
kirin	k IH r IH n
kirk	k ER k
kirk's	k ER k s
kirkbride	k ER k b r AY d
kirkby	k ER k b IY
kirkeby	k ER k IH b IY
kirkendall	k ER k EH n d AH l
kirkendoll	k ER k EH n d OW l
kirker	k ER k ER
kirkey	k ER k IY
kirkham	k ER k h AH m
kirkhart	k ER k h AA r t
kirkland	k ER k l AH n d
kirkland's	k ER k l AH n d z
kirkley	k ER k l IY
kirklin	k ER k l IH n
kirkman	k ER k m AH n
kirkner	k ER k n ER
kirkpatrick	k ER k p AE t r IH k
kirkpatrick(2)	k ER p AE t r IH k
kirks	k ER k s
kirksey	k ER k s IY
kirkuk	k IH r k UH k
kirkum	k IH r k AH m
kirkwood	k ER k w UH d
kirley	k ER l IY
kirlin	k ER l IH n
kirmse	k ER m s IY
kirn	k ER n
kirnan	k ER n AH n
kirner	k ER n ER
kirouac	k AY r AW AE k
kirov	k IH r AA v
kirsch	k ER SH
kirschbaum	k ER SH b AW m
kirschenbaum	k ER SH AH n b AW m
kirschenmann	k ER SH AH n m AH n
kirschman	k ER SH m AH n
kirschner	k ER SH n ER
kirsh	k ER SH
kirshbaum	k ER SH b AW m
kirshenbaum	k ER SH AH n b AW m
kirshfink	k ER SH f IH NG k
kirshner	k ER SH n ER
kirst	k ER s t
kirstein	k ER s t AY n
kirstein(2)	k ER s t IY n
kirsten	k ER s t AH n
kirstie	k ER s t IY
kirstin	k ER s t IH n
kirt	k ER t
kirtland	k ER t l AH n d
kirtley	k ER t l IY
kirton	k ER t AH n
kirts	k ER t s
kirven	k ER v AH n
kirwan	k ER w AO n
kirwin	k ER w IH n
kiryas	k IH r j AH s
kiryas(2)	k IH r j AA s
kiryat	k IH r j AH t
kiryat(2)	k IH r j AA t
kis	k IH s
kisamore	k IY s AA m AO r
kisan	k IH z AH n
kisch	k IH SH
kischell	k IH SH AH l
kisco	k IH s k OW
kise	k AY z
kiser	k AY z ER
kish	k IH SH
kisha	k IH SH AH
kishbaugh	k IH SH b AW
kishi	k IY SH IY
kishore	k IY SH AO r
kisiel	k IH s IY l
kiska	k IH s k AH
kiska's	k IH s k AH z
kisler	k IH s AH l ER
kisler(2)	k IH s l ER
kisling	k IH s AH l IH NG
kisling(2)	k IH s l IH NG
kismayu	k IH s m AA j UW
kismayu(2)	k IH z m AA j UW
kismet	k IH z m IH t
kismets	k IH z m IH t s
kisner	k IH s n ER
kisor	k AY z ER
kiss	k IH s
kissack	k IH s AH k
kissam	k IH s AH m
kissane	k IH s AH n
kissed	k IH s t
kissee	k IH s IY
kissel	k IH s AH l
kissell	k IH s AH l
kisser	k IH s ER
kisses	k IH s AH z
kisses(2)	k IH s IH z
kissick	k IH s IH k
kissimmee	k IH s IH m IY
kissing	k IH s IH NG
kissinger	k IH s IH n JH ER
kissinger's	k IH s IH n JH ER z
kissler	k IH s l ER
kissling	k IH s l IH NG
kissner	k IH s n ER
kist	k IH s t
kister	k IH s t ER
kistler	k IH s t l ER
kistner	k IH s t n ER
kiszczak	k IH z AE k
kiszczak(2)	k IH SH AE k
kit	k IH t
kita	k IY t AH
kitagawa	k IY t AA g AA w AH
kitajima	k IY t AH JH IY m AH
kitamura	k IY t AA m UH r AH
kitcat	k IH t k AE t
kitch	k IH CH
kitchel	k IH CH AH l
kitchell	k IH CH AH l
kitchen	k IH CH AH n
kitchen's	k IH CH AH n z
kitchenaid	k IH CH AH n EY d
kitchener	k IH CH AH n ER
kitchener(2)	k IH CH n ER
kitchenette	k IH CH AH n EH t
kitchens	k IH CH AH n z
kitchenware	k IH CH AH n w EH r
kitchin	k IH CH IH n
kitching	k IH CH IH NG
kitchings	k IH CH IH NG z
kite	k AY t
kites	k AY t s
kithcart	k IH TH k AA r t
kitimat	k IH t IH m AE t
kiting	k AY t IH NG
kitman	k IH t m AH n
kitner	k IH t n ER
kitowski	k IH t AO f s k IY
kits	k IH t s
kitsch	k IH CH
kitson	k IH t s AH n
kitt	k IH t
kittaneh	k IH t AA n EH
kittel	k IH t AH l
kittell	k IH t AH l
kittelson	k IH t IH l s AH n
kitten	k IH t AH n
kittens	k IH t AH n z
kitterman	k IH t ER m AH n
kittinger	k IH t IH NG ER
kittiwake	k IH t IH w EY k
kittle	k IH t AH l
kittler	k IH t AH l ER
kittles	k IH t AH l z
kittleson	k IH t AH l s AH n
kittman	k IH t m AH n
kittner	k IH t n ER
kittredge	k IH t r IH JH
kittrell	k IH t r AH l
kitts	k IH t s
kitty	k IH t IY
kitz	k IH t s
kitzhaber	k IH t s h EY b ER
kitzhaber(2)	k IH t s h AA b ER
kitzman	k IH t s m AH n
kitzmiller	k IH t s m IH l ER
kivela	k IH v IH l AH
kivett	k IH v IH t
kivi	k IH v IY
kiwani	k IH w AA n IH
kiwanis	k IH w AA n IH s
kiwi	k IY w IY
kiwi's	k IY w IY z
kiwis	k IY w IY z
kiyohida	k IY OW h IY d AH
kiyoshi	k IY OW SH IY
kiyotaka	k IY OW t AA k AH
kizer	k AY z ER
kizziah	k IH z IY AH
kjar	k j AA r
kjar(2)	k EY JH EY EY AA r
kjell	k j EH l
kjellberg	k j EH l b ER g
kjellberg(2)	JH EH l b ER g
kjenstad	k j EH n s t AE d
kjos	k j AO s
kkk	k EY k EY k EY
klaas	k l AA s
klaassen	k l AA s AH n
klabunde	k l AE b AH n d
kladstrup	k l AE d s t r AH p
kladstrup's	k l AE d s t r AH p s
klages	k l EY JH IH z
klahn	k l AE n
klahr	k l AE r
klaiber	k l EY b ER
klamath-falls	k l AE m AH TH f AO l z
klamer	k l EY m ER
klamm	k l AE m
klammer	k l AE m ER
klamon	k l EY m AH n
klan	k l AE n
klan's	k l AE n z
klang	k l AE NG
klann	k l AE n
klans	k l AE n z
klansman	k l AE n z m AH n
klansmen	k l AE n z m AH n
klanwatch	k l AE n w AA CH
klapp	k l AE p
klapper	k l AE p ER
klapperich	k l AE p ER IH k
klar	k l AA r
klare	k l EH r
klarich	k l AE r IH k
klarman	k l AA r m AH n
klas	k l AE s
klase	k l EY z
klasen	k l EY s AH n
klass	k l AE s
klassen	k l AE s AH n
klatsky	k l AE t s k IY
klatt	k l AE t
klauber	k l AW b ER
klauer	k l AW ER
klaus	k l AW s
klauser	k l AW s ER
klausing	k l AW s IH NG
klausner	k l AW s n ER
klaver	k l EY v ER
klawitter	k l AO IH t ER
klay	k l EY
klayman	k l EY m AH n
kleban	k l EH b AH n
klebba	k l EH b AH
klebe	k l IY b
kleber	k l IY b ER
kleck	k l EH k
klecka	k l EH k AH
klecker	k l EH k ER
kleckner	k l EH k n ER
kleczka	k l EH k s k AH
klee	k l IY
klee's	k l IY z
kleeman	k l IY m AH n
kleen	k l IY n
kleenex	k l IY n AH k s
kleer	k l IH r
klees	k l IY z
kleffner	k l EH f n ER
kleiber	k l AY b ER
kleier	k l AY ER
kleiman	k l AY m AH n
klein	k l AY n
klein's	k l AY n z
kleinberg	k l AY n b ER g
kleindienst	k l AY n d IY n s t
kleine	k l AY n
kleiner	k l AY n ER
kleinert	k l AY n ER t
kleinfeld	k l AY n f EH l d
kleinfelter	k l AY n f IH l t ER
kleinhans	k l AY n h AH n z
kleinhenz	k l AY n h IH n s
kleinknecht	k l AY NG k n IH k t
kleinman	k l AY n m AH n
kleinpaste	k l AY n p EY s t
kleinpeter	k l AY n p IY t ER
kleinsasser	k l AY n s AH s ER
kleinschmidt	k l AY n SH m IH t
kleinsmith	k l AY n s m IH TH
kleinwort	k l AY n w ER t
kleis	k l AY z
kleiss	k l AY s
kleist	k l AY s t
klejna	k l EY n ER
klem	k l EH m
klema	k l EH m AH
kleman	k l EH m AH n
klemann	k l EH m AH n
klemens	k l EH m AH n s
klement	k l EH m AH n t
klemm	k l EH m
klemme	k l EH m
klemmer	k l EH m ER
klemp	k l EH m p
klempner	k l EH m p n ER
klemz	k l EH m z
klenge	k l EH n JH
klenk	k l EH NG k
klenke	k l EH NG k
klensch	k l EH n SH
klepac	k l EH p AH k
klepfer	k l EH p f ER
kleppe	k l EH p
klepper	k l EH p ER
kleppinger	k l EH p IH NG g ER
kleptocrat	k l EH p t AH k r AE t
kleptomaniac	k l EH p t AH m EY n IY AE k
klerk	k l ER k
klerk's	k l ER k s
klesch	k l EH SH
klesken	k l EH s k AH n
kless	k l EH s
klett	k l EH t
kleubeck	k l UW b EH k
kleve	k l IY v
kleven	k l IY v AH n
klever	k l EH v ER
kley	k l EY
klezmatic	k l EH z m AE t IH k
klezmatics	k l EH z m AE t IH k s
klezmer	k l EH z m ER
klich	k l IH CH
klick	k l IH k
klickovic	k l IH k AH v IH k
kliebert	k l IY b ER t
klieg	k l IY g
klieman	k l AY m AH n
klier	k l AY ER
kliethermes	k l IY TH ER m z
kliewer	k l IY w ER
kligman	k l IH g m AH n
klim	k l IH m
klima	k l AY m AH
klimas	k l AY m AH z
klimaszewski	k l IH m AH SH EH f s k IY
klimczak	k l IH m CH AE k
klimek	k l IH m IH k
kliment	k l AY m AH n t
klimer	k l IH m ER
klimer(2)	k l AY m ER
klimowicz	k l IH m AH v IH CH
klinck	k l IH NG k
klindt	k l IH n t
klindworth	k l IH n d w ER TH
kline	k l AY n
klinedinst	k l IH n IH d IH n s t
klinedinst(2)	k l AY n d IH n s t
klinefelter	k l IH n IH f IH l t ER
klinefelter(2)	k l AY n f IH l t ER
kling	k l IH NG
klingaman	k l IH NG g AH m AH n
klingbeil	k l IH NG b AY l
klingberg	k l IH NG b ER g
klinge	k l IH n JH
klingel	k l IH NG g AH l
klingenberg	k l IH NG AH n b ER g
klingensmith	k l IH NG g IH n s m IH TH
klinger	k l IH NG ER
klinger's	k l IH NG ER z
klingerman	k l IH NG ER m AH n
klinghoffer	k l IH NG h AO f ER
klingler	k l IH NG g AH l ER
klingler(2)	k l IH NG g l ER
klingman	k l IH NG m AH n
klingon	k l IH NG g AH n
klingons	k l IH NG g AH n z
klink	k l IH NG k
klinke	k l IH NG k
klinker	k l IH NG k ER
klinkhammer	k l IH NG k h AE m ER
klinkhammer's	k l IH NG k h AE m ER z
klinkner	k l IH NG k n ER
klint	k l IH n t
klintworth	k l IH n t w ER TH
klinzing	k l IH n z IH NG
klipfel	k l IH p f AH l
klipp	k l IH p
klippel	k l IH p AH l
klish	k l IH SH
klitz	k l IH t s
klitzke	k l IH t s k IY
klixshavich	k l IH k s AE v IH CH
kloberdanz	k l AA b ER d AH n s
kloc	k l AA k
klocek	k l OW s IH k
klock	k l AA k
klocke	k l AA k
kloeckner	k l OW k n ER
kloehn	k l OW n
kloepfer	k l OW p f ER
kloeppel	k l OW p AH l
kloepper	k l OW p ER
kloiber	k l OY b ER
klom	k l AO m
klomp	k l AA m p
klondike	k l AA n d AY k
klonowski	k l AH n AO f s k IY
klontz	k l AA n t s
kloos	k l UW z
klooster	k l UW s t ER
kloosterman	k l UW s t ER m AH n
klopf	k l AA p f
klopfenstein	k l AA p f AH n s t AY n
klopfenstein(2)	k l AA p f AH n s t IY n
klopfer	k l AA p f ER
klopp	k l AA p
kloppenburg	k l AA p AH n b ER g
klos	k l AO s
klose	k l OW z
klosinski	k l AH s IH n s k IY
klosowski	k l AH s AO f s k IY
kloss	k l AO s
klossner	k l AA s n ER
kloster	k l AO s t ER
klosterman	k l AA s t ER m AH n
klostermann	k l AA s t ER m AH n
kloth	k l AA TH
klotz	k l AA t s
klotzbach	k l AA t s b AA k
klu	k l UW
klu(2)	k EY EH l j UW
